player,playerId,teamId,position,positionSource,primaryArchetype,archetypeConfidence,secondaryArchetype,rawDRBL,posteriorDRBL,posteriorReliability,calibrationIntercept,calibrationSlope,finalAbilityDRBL100,actualOnCourtPossessions,replacementLevelDRBL100,aboveReplacementRate,pointsPerWin,DRBL_WAA,DRBL_WAR,oldDisplayedWAR,newDisplayedWAR,warChange,oldRank,newAbilityRank,newWaaRank,newWarRank,modelVersion,calibrationVersion,replacementVersion,warFormulaVersion
Tyrese Maxey,1630178,1610612755,UNKNOWN,unavailable,finisher,0.7889,creator,0.5813,0.3705,0.9749,0,5.835417,2.162022,7776,-1.488615,3.650637,38.714286,4.342553,7.332526,1.51,7.332526,5.822526,86,116,66,57,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Moses Moody,1630541,1610612744,UNKNOWN,unavailable,finisher,0.7724,creator,0.6486,0.5732,0.9715,0,5.835417,3.344861,6827,-1.488615,4.833476,38.714286,5.898434,8.523504,1.48,8.523504,7.043504,87,66,40,42,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Kentavious Caldwell-Pope,203484,1610612753,UNKNOWN,unavailable,finisher,0.7344,defender,0.4788,-0.0489,0.9785,0,5.835417,-0.285352,9099,-1.488615,1.203263,38.714286,-0.670661,2.828023,1.45,2.828023,1.378023,88,254,333,145,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Alec Burks,202692,1610612748,UNKNOWN,unavailable,finisher,0.8303,creator,1.2808,0.5381,0.9441,0,5.835417,3.140038,3377,-1.488615,4.628652,38.714286,2.739017,4.037517,1.44,4.037517,2.597517,89,73,93,121,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Anthony Davis,203076,1610612747,UNKNOWN,unavailable,finisher,0.7213,creator,0.6092,0.5152,0.9721,0,5.835417,3.006407,6970,-1.488615,4.495021,38.714286,5.412641,8.092697,1.42,8.092697,6.672697,90,79,47,47,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Brook Lopez,201572,1610612749,UNKNOWN,unavailable,finisher,0.8777,creator,0.3988,-0.0098,0.9812,0,5.835417,-0.057187,10423,-1.488615,1.431428,38.714286,-0.153964,3.853815,1.39,3.853815,2.463815,91,242,278,129,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jay Huff,1630643,1610612763,UNKNOWN,unavailable,finisher,0.9005,creator,1.296,0.414,0.9409,0,5.835417,2.415862,3184,-1.488615,3.904477,38.714286,1.986891,3.21118,1.38,3.21118,1.83118,92,104,114,139,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jamison Battle,1642419,1610612761,UNKNOWN,unavailable,finisher,0.9279,creator,0.9463,0.7934,0.9559,0,5.835417,4.62982,4336,-1.488615,6.118434,38.714286,5.185398,6.852646,1.37,6.852646,5.482646,93,33,50,66,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jaylen Clark,1641740,1610612750,UNKNOWN,unavailable,finisher,0.6303,creator,1.9022,0.787,0.9151,0,5.835417,4.592473,2157,-1.488615,6.081088,38.714286,2.558736,3.388131,1.37,3.388131,2.018131,94,34,100,133,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jalen Williams,1631114,1610612760,UNKNOWN,unavailable,finisher,0.8263,creator,0.4414,-0.4601,0.9789,0,5.835417,-2.684875,9284,-1.488615,-1.19626,38.714286,-6.438549,-2.86873,1.37,-2.86873,-4.23873,95,412,514,493,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Moussa Diabaté,1631217,1610612766,UNKNOWN,unavailable,finisher,0.6916,creator,0.8369,0.4804,0.9607,0,5.835417,2.803334,4891,-1.488615,4.291949,38.714286,3.541614,5.422268,1.36,5.422268,4.062268,96,87,82,91,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Victor Wembanyama,1641705,1610612759,UNKNOWN,unavailable,finisher,0.728,creator,0.6765,1.7019,0.9679,0,5.835417,9.931296,6024,-1.488615,11.41991,38.714286,15.453242,17.769549,1.36,17.769549,16.409549,97,2,4,4,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Duncan Robinson,1629130,1610612748,UNKNOWN,unavailable,finisher,0.8973,creator,0.5663,0.2529,0.9728,0,5.835417,1.475777,7165,-1.488615,2.964392,38.714286,2.731276,5.486312,1.35,5.486312,4.136312,98,143,94,87,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Kawhi Leonard,202695,1610612746,UNKNOWN,unavailable,finisher,0.8111,creator,0.8524,-0.6045,0.9595,0,5.835417,-3.527509,4736,-1.488615,-2.038895,38.714286,-4.315276,-2.494223,1.35,-2.494223,-3.844223,99,449,486,483,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Immanuel Quickley,1630193,1610612761,UNKNOWN,unavailable,finisher,0.7369,creator,1.0585,-0.1235,0.9498,0,5.835417,-0.720674,3787,-1.488615,0.767941,38.714286,-0.704957,0.751193,1.34,0.751193,-0.588807,100,292,336,250,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Luguentz Dort,1629652,1610612760,UNKNOWN,unavailable,finisher,0.9273,creator,0.4646,0.0489,0.9773,0,5.835417,0.285352,8626,-1.488615,1.773967,38.714286,0.635798,3.952607,1.34,3.952607,2.612607,101,214,170,124,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Walker Kessler,1631117,1610612762,UNKNOWN,unavailable,finisher,0.8377,creator,0.5495,0.3503,0.9731,0,5.835417,2.044146,7243,-1.488615,3.532761,38.714286,3.824364,6.609392,1.33,6.609392,5.279392,102,126,75,70,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Dereck Lively II,1641726,1610612742,UNKNOWN,unavailable,finisher,0.8434,creator,1.1322,0.501,0.9452,0,5.835417,2.923544,3451,-1.488615,4.412158,38.714286,2.606053,3.933008,1.3,3.933008,2.633008,103,82,97,126,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Collin Sexton,1629012,1610612762,UNKNOWN,unavailable,finisher,0.8113,creator,0.5341,0.3601,0.9732,0,5.835417,2.101334,7276,-1.488615,3.589948,38.714286,3.949266,6.746983,1.3,6.746983,5.446983,104,123,73,67,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Myles Turner,1626167,1610612754,UNKNOWN,unavailable,finisher,0.815,creator,0.4392,-0.1662,0.9774,0,5.835417,-0.969846,8645,-1.488615,0.518769,38.714286,-2.165692,1.158424,1.27,1.158424,-0.111576,105,304,432,223,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Brice Sensabaugh,1641729,1610612762,UNKNOWN,unavailable,finisher,0.9069,creator,0.6237,-0.358,0.9676,0,5.835417,-2.089079,5974,-1.488615,-0.600464,38.714286,-3.223657,-0.926576,1.24,-0.926576,-2.166576,106,390,462,437,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Fred VanVleet,1627832,1610612745,UNKNOWN,unavailable,finisher,0.7632,creator,0.4368,-0.0488,0.9767,0,5.835417,-0.284768,8397,-1.488615,1.203846,38.714286,-0.617653,2.611103,1.22,2.611103,1.391103,107,253,328,155,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Andrew Wiggins,203952,1610612744,UNKNOWN,unavailable,finisher,0.7482,creator,0.4804,0.1657,0.9745,0,5.835417,0.966929,7631,-1.488615,2.455543,38.714286,1.90592,4.840139,1.22,4.840139,3.620139,108,168,118,102,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Nicolas Batum,201587,1610612746,UNKNOWN,unavailable,finisher,0.7027,defender,0.6541,-0.1544,0.965,0,5.835417,-0.900988,5508,-1.488615,0.587626,38.714286,-1.281864,0.836034,1.2,0.836034,-0.363966,109,301,381,242,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Brandin Podziemski,1641764,1610612744,UNKNOWN,unavailable,finisher,0.7104,creator,0.5095,0.0097,0.9722,0,5.835417,0.056604,6993,-1.488615,1.545218,38.714286,0.102244,2.791143,1.19,2.791143,1.601143,110,228,211,147,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Toumani Camara,1641739,1610612757,UNKNOWN,unavailable,finisher,0.806,creator,0.3376,-0.2551,0.9813,0,5.835417,-1.488615,10513,-1.488615,0,38.714286,-4.042386,0,1.18,0,-1.18,111,343,483,554,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jordan Poole,1629673,1610612764,UNKNOWN,unavailable,finisher,0.7645,creator,0.4191,-0.0684,0.9768,0,5.835417,-0.399142,8417,-1.488615,1.089472,38.714286,-0.867789,2.368657,1.18,2.368657,1.188657,112,265,354,164,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Moritz Wagner,1629021,1610612753,UNKNOWN,unavailable,finisher,0.7796,creator,1.5326,0.2216,0.9194,0,5.835417,1.293128,2282,-1.488615,2.781743,38.714286,0.76223,1.639689,1.17,1.639689,0.469689,113,154,164,197,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Lauri Markkanen,1628374,1610612762,UNKNOWN,unavailable,finisher,0.7576,creator,0.5565,0.184,0.9685,0,5.835417,1.073717,6152,-1.488615,2.562331,38.714286,1.706219,4.071743,1.14,4.071743,2.931743,114,165,124,119,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Buddy Hield,1627741,1610612744,UNKNOWN,unavailable,finisher,0.8989,creator,0.4482,-0.1169,0.9741,0,5.835417,-0.68216,7528,-1.488615,0.806455,38.714286,-1.326462,1.568152,1.12,1.568152,0.448152,115,290,384,206,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Vít Krejčí,1630249,1610612737,UNKNOWN,unavailable,finisher,0.8736,creator,0.7054,-0.1056,0.9596,0,5.835417,-0.61622,4749,-1.488615,0.872395,38.714286,-0.755904,1.070148,1.12,1.070148,-0.049852,116,286,341,228,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Isaac Okoro,1630171,1610612739,UNKNOWN,unavailable,finisher,0.9034,creator,0.7631,0.3728,0.956,0,5.835417,2.175443,4345,-1.488615,3.664058,38.714286,2.441554,4.112263,1.11,4.112263,3.002263,117,115,102,117,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Sam Merrill,1630241,1610612739,UNKNOWN,unavailable,finisher,0.898,creator,0.5667,0.232,0.9667,0,5.835417,1.353817,5801,-1.488615,2.842431,38.714286,2.028577,4.259137,1.1,4.259137,3.159137,118,151,112,113,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Caleb Houstan,1631216,1610612753,UNKNOWN,unavailable,finisher,0.8711,creator,1.0465,-0.2913,0.9396,0,5.835417,-1.699857,3110,-1.488615,-0.211242,38.714286,-1.365531,-0.169695,1.08,-0.169695,-1.249695,119,360,387,374,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Santi Aldama,1630583,1610612763,UNKNOWN,unavailable,finisher,0.8291,creator,0.4475,0.5739,0.9727,0,5.835417,3.348946,7119,-1.488615,4.83756,38.714286,6.158229,8.895577,1.06,8.895577,7.835577,120,65,35,40,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Amir Coffey,1629599,1610612746,UNKNOWN,unavailable,finisher,0.864,creator,0.4438,0.3696,0.9727,0,5.835417,2.15677,7136,-1.488615,3.645385,38.714286,3.97546,6.719345,1.06,6.719345,5.659345,121,119,72,68,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jared Butler,1630215,1610612764,UNKNOWN,unavailable,finisher,0.81,creator,0.7148,0.7267,0.9562,0,5.835417,4.240597,4371,-1.488615,5.729212,38.714286,4.787806,6.468513,1.04,6.468513,5.428513,122,39,57,71,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Brandon Williams,1630314,1610612742,UNKNOWN,unavailable,finisher,0.7027,creator,1.5199,-0.1548,0.9107,0,5.835417,-0.903322,2040,-1.488615,0.585292,38.714286,-0.475994,0.308412,1.03,0.308412,-0.721588,123,302,312,277,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Austin Reaves,1630559,1610612747,UNKNOWN,unavailable,finisher,0.7806,creator,0.2929,0,0.9815,0,5.835417,0,10582,-1.488615,1.488615,38.714286,0,4.068917,1.03,4.068917,3.038917,124,233,233,120,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
AJ Green,1631260,1610612749,UNKNOWN,unavailable,finisher,0.8703,creator,0.4584,0.0388,0.9712,0,5.835417,0.226414,6755,-1.488615,1.715029,38.714286,0.395055,2.992441,1.03,2.992441,1.962441,125,219,185,140,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Kevon Looney,1626172,1610612744,UNKNOWN,unavailable,finisher,0.5767,creator,0.6589,0.3929,0.9583,0,5.835417,2.292735,4598,-1.488615,3.78135,38.714286,2.723025,4.491016,1.01,4.491016,3.481016,126,109,95,109,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Richaun Holmes,1626158,1610612764,UNKNOWN,unavailable,finisher,0.8569,creator,1.3308,0.4226,0.9187,0,5.835417,2.466047,2259,-1.488615,3.954662,38.714286,1.438952,2.307567,1,2.307567,1.307567,127,100,132,166,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Tre Jones,1630200,1610612759,UNKNOWN,unavailable,finisher,0.8194,creator,0.7829,-0.275,0.9482,0,5.835417,-1.60474,3663,-1.488615,-0.116125,38.714286,-1.518344,-0.109873,0.96,-0.109873,-1.069873,128,350,398,365,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jalen Green,1630224,1610612745,UNKNOWN,unavailable,finisher,0.8238,creator,0.2529,0,0.9821,0,5.835417,0,10969,-1.488615,1.488615,38.714286,0,4.217724,0.92,4.217724,3.297724,129,234,234,115,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Kenrich Williams,1629026,1610612760,UNKNOWN,unavailable,finisher,0.856,creator,0.5963,0.5368,0.9586,0,5.835417,3.132452,4632,-1.488615,4.621066,38.714286,3.747845,5.52891,0.92,5.52891,4.60891,130,74,76,86,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Donte DiVincenzo,1628978,1610612750,UNKNOWN,unavailable,finisher,0.8085,creator,0.4146,-0.0777,0.9708,0,5.835417,-0.453412,6658,-1.488615,1.035203,38.714286,-0.779768,1.78032,0.92,1.78032,0.86032,131,272,347,190,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Matisse Thybulle,1629680,1610612757,UNKNOWN,unavailable,defender,0.4861,finisher,2.0422,0.6752,0.8681,0,5.835417,3.940073,1316,-1.488615,5.428688,38.714286,1.339334,1.845353,0.9,1.845353,0.945353,132,45,137,187,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Day'Ron Sharpe,1630549,1610612751,UNKNOWN,unavailable,finisher,0.5881,defender,0.7552,0.1325,0.9468,0,5.835417,0.773193,3558,-1.488615,2.261807,38.714286,0.710595,2.078693,0.9,2.078693,1.178693,133,178,165,173,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Coby White,1629632,1610612741,UNKNOWN,unavailable,finisher,0.7881,creator,0.2565,-0.3532,0.9812,0,5.835417,-2.061069,10460,-1.488615,-0.572454,38.714286,-5.568689,-1.546683,0.89,-1.546683,-2.436683,134,387,502,466,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Aaron Wiggins,1630598,1610612760,UNKNOWN,unavailable,finisher,0.8973,creator,0.3632,0.2043,0.973,0,5.835417,1.192176,7221,-1.488615,2.68079,38.714286,2.223649,5.000218,0.87,5.000218,4.130218,135,160,108,98,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Oscar Tshiebwe,1631131,1610612762,UNKNOWN,unavailable,finisher,0.7316,defender,2.2036,0.9299,0.8453,0,5.835417,5.426354,1093,-1.488615,6.914969,38.714286,1.531994,1.952267,0.8,1.952267,1.152267,136,22,127,182,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Antonio Reeves,1641810,1610612740,UNKNOWN,unavailable,finisher,0.8914,creator,0.8799,0.1304,0.9313,0,5.835417,0.760938,2711,-1.488615,2.249553,38.714286,0.532853,1.575268,0.8,1.575268,0.775268,137,181,174,205,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Landry Shamet,1629013,1610612752,UNKNOWN,unavailable,finisher,0.9225,creator,0.7701,-0.1503,0.9392,0,5.835417,-0.877063,3088,-1.488615,0.611552,38.714286,-0.699579,0.487797,0.79,0.487797,-0.302203,138,299,335,261,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Quenton Jackson,1631245,1610612754,UNKNOWN,unavailable,finisher,0.539,creator,1.4521,-0.2047,0.8902,0,5.835417,-1.19451,1621,-1.488615,0.294105,38.714286,-0.500151,0.123144,0.78,0.123144,-0.656856,139,319,315,305,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Anfernee Simons,1629014,1610612757,UNKNOWN,unavailable,finisher,0.8309,creator,0.2504,-0.1273,0.979,0,5.835417,-0.742849,9310,-1.488615,0.745766,38.714286,-1.7864,1.793416,0.78,1.793416,1.013416,140,295,406,189,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Marcus Sasser,1631204,1610612765,UNKNOWN,unavailable,finisher,0.7716,defender,0.6753,0.3875,0.9452,0,5.835417,2.261224,3449,-1.488615,3.749839,38.714286,2.014492,3.340677,0.78,3.340677,2.560677,141,113,113,135,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jaylen Wells,1642377,1610612763,UNKNOWN,unavailable,finisher,0.8478,creator,0.2628,0.3616,0.9774,0,5.835417,2.110087,8654,-1.488615,3.598701,38.714286,4.716783,8.044359,0.76,8.044359,7.284359,142,122,58,49,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jalen Smith,1630188,1610612741,UNKNOWN,unavailable,finisher,0.7728,creator,0.5442,0.4198,0.9541,0,5.835417,2.449708,4157,-1.488615,3.938323,38.714286,2.630408,4.228828,0.75,4.228828,3.478828,143,101,96,114,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Karlo Matković,1631255,1610612740,UNKNOWN,unavailable,finisher,0.8304,creator,0.687,0.1036,0.9421,0,5.835417,0.604549,3253,-1.488615,2.093164,38.714286,0.507977,1.758798,0.74,1.758798,1.018798,144,191,176,192,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jeff Dowtin Jr.,1630288,1610612755,UNKNOWN,unavailable,finisher,0.8407,creator,0.881,-0.9825,0.9269,0,5.835417,-5.733297,2535,-1.488615,-4.244682,38.714286,-3.754146,-2.779405,0.74,-2.779405,-3.519405,145,506,477,490,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Julian Champagnie,1630577,1610612759,UNKNOWN,unavailable,finisher,0.7706,creator,0.2792,0.1561,0.9754,0,5.835417,0.910909,7917,-1.488615,2.399523,38.714286,1.862791,4.906981,0.74,4.906981,4.166981,146,174,120,100,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Mike Conley,201144,1610612750,UNKNOWN,unavailable,finisher,0.7992,creator,0.3099,-0.1167,0.9726,0,5.835417,-0.680993,7101,-1.488615,0.807622,38.714286,-1.249082,1.481345,0.73,1.481345,0.751345,147,289,379,210,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Aaron Holiday,1628988,1610612745,UNKNOWN,unavailable,finisher,0.8884,creator,0.6644,0.4523,0.9424,0,5.835417,2.639359,3271,-1.488615,4.127974,38.714286,2.230015,3.487757,0.72,3.487757,2.767757,148,94,107,132,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Johnny Juzang,1630548,1610612762,UNKNOWN,unavailable,finisher,0.8661,creator,0.4094,0.106,0.9635,0,5.835417,0.618554,5273,-1.488615,2.107169,38.714286,0.842489,2.870026,0.72,2.870026,2.150026,149,189,159,144,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Dorian Finney-Smith,1627827,1610612751,UNKNOWN,unavailable,finisher,0.8612,creator,0.291,0.4087,0.9732,0,5.835417,2.384935,7259,-1.488615,3.87355,38.714286,4.471797,7.262977,0.7,7.262977,6.562977,150,105,63,60,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Doug McDermott,203926,1610612758,UNKNOWN,unavailable,finisher,0.9225,creator,1.5189,0.4282,0.8739,0,5.835417,2.498725,1386,-1.488615,3.98734,38.714286,0.894562,1.427497,0.7,1.427497,0.727497,151,98,154,212,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Dru Smith,1630696,1610612748,UNKNOWN,unavailable,finisher,0.473,defender,1.8654,1.1571,0.8452,0,5.835417,6.752161,1092,-1.488615,8.240775,38.714286,1.904558,2.324446,0.68,2.324446,1.644446,152,15,119,165,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Anthony Gill,1630264,1610612764,UNKNOWN,unavailable,finisher,0.5122,creator,1.2355,0.6411,0.8905,0,5.835417,3.741086,1626,-1.488615,5.2297,38.714286,1.571256,2.196474,0.67,2.196474,1.526474,153,53,126,170,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Patrick Baldwin Jr.,1631116,1610612764,UNKNOWN,unavailable,finisher,0.7173,defender,4.6818,1.2208,0.682,0,5.835417,7.123877,429,-1.488615,8.612491,38.714286,0.78941,0.954366,0.67,0.954366,0.284366,154,11,160,233,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Kel'el Ware,1642276,1610612748,UNKNOWN,unavailable,finisher,0.8671,creator,0.349,0.2222,0.9662,0,5.835417,1.29663,5710,-1.488615,2.785244,38.714286,1.912409,4.107978,0.66,4.107978,3.447978,155,153,117,118,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jeff Green,201145,1610612745,UNKNOWN,unavailable,finisher,0.8719,creator,1.2011,0.5966,0.8905,0,5.835417,3.48141,1626,-1.488615,4.970024,38.714286,1.462192,2.08741,0.65,2.08741,1.43741,156,62,130,172,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jared McCain,1642272,1610612755,UNKNOWN,unavailable,finisher,0.8197,creator,0.8158,0.5007,0.9228,0,5.835417,2.921793,2392,-1.488615,4.410408,38.714286,1.805258,2.725014,0.65,2.725014,2.075014,157,84,122,149,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Paul Reed,1630194,1610612765,UNKNOWN,unavailable,defender,0.4554,finisher,1.0525,1.1627,0.9013,0,5.835417,6.784839,1827,-1.488615,8.273454,38.714286,3.201893,3.904398,0.64,3.904398,3.264398,158,14,85,127,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Quentin Grimes,1629656,1610612742,UNKNOWN,unavailable,finisher,0.8156,creator,0.2307,0.1562,0.9764,0,5.835417,0.911492,8263,-1.488615,2.400107,38.714286,1.945447,5.122678,0.64,5.122678,4.482678,159,173,116,97,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Luke Kennard,1628379,1610612763,UNKNOWN,unavailable,finisher,0.93,creator,0.2911,0.2617,0.9694,0,5.835417,1.527129,6333,-1.488615,3.015743,38.714286,2.498123,4.933244,0.61,4.933244,4.323244,160,140,101,99,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Kris Dunn,1627739,1610612746,UNKNOWN,unavailable,finisher,0.4694,defender,0.2486,-0.1752,0.9734,0,5.835417,-1.022365,7311,-1.488615,0.46625,38.714286,-1.930685,0.880489,0.61,0.880489,0.270489,161,308,416,240,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Quinten Post,1642366,1610612744,UNKNOWN,unavailable,finisher,0.8969,creator,0.6729,0.0838,0.931,0,5.835417,0.489008,2699,-1.488615,1.977623,38.714286,0.340916,1.378717,0.61,1.378717,0.768717,162,200,189,213,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Miles McBride,1630540,1610612752,UNKNOWN,unavailable,finisher,0.8396,creator,0.2766,0.0485,0.9701,0,5.835417,0.283018,6500,-1.488615,1.771632,38.714286,0.475177,2.974512,0.6,2.974512,2.374512,163,215,180,141,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jalen Johnson,1630552,1610612737,UNKNOWN,unavailable,finisher,0.7934,creator,0.3305,1.0738,0.9643,0,5.835417,6.26607,5396,-1.488615,7.754685,38.714286,8.733653,10.808486,0.59,10.808486,10.218486,164,17,19,24,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Chet Holmgren,1631096,1610612760,UNKNOWN,unavailable,finisher,0.8035,creator,0.4821,0.0854,0.9487,0,5.835417,0.498345,3696,-1.488615,1.986959,38.714286,0.475763,1.896923,0.59,1.896923,1.306923,165,199,179,184,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Monté Morris,1628420,1610612756,UNKNOWN,unavailable,finisher,0.7565,creator,0.76,0.0553,0.9214,0,5.835417,0.322699,2343,-1.488615,1.811313,38.714286,0.195298,1.096212,0.59,1.096212,0.506212,166,212,201,227,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jared Rhoden,1631197,1610612766,UNKNOWN,unavailable,finisher,0.7368,creator,1.8573,-0.0496,0.8268,0,5.835417,-0.289437,955,-1.488615,1.199178,38.714286,-0.071398,0.295812,0.59,0.295812,-0.294188,167,255,261,279,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jordan McLaughlin,1629162,1610612758,UNKNOWN,unavailable,finisher,0.6765,defender,1.4037,-0.0604,0.8626,0,5.835417,-0.352459,1256,-1.488615,1.136156,38.714286,-0.114348,0.368601,0.59,0.368601,-0.221399,168,261,274,271,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Caris LeVert,1627747,1610612739,UNKNOWN,unavailable,finisher,0.8289,creator,0.2541,0.0097,0.9713,0,5.835417,0.056604,6779,-1.488615,1.545218,38.714286,0.099115,2.705729,0.57,2.705729,2.135729,169,229,213,152,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Robert Williams III,1629057,1610612757,UNKNOWN,unavailable,finisher,0.7103,creator,1.1774,0.6446,0.8792,0,5.835417,3.76151,1456,-1.488615,5.250124,38.714286,1.414661,1.974512,0.57,1.974512,1.404512,170,52,134,181,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Larry Nance Jr.,1626204,1610612737,UNKNOWN,unavailable,finisher,0.8642,creator,0.8465,-0.6247,0.909,0,5.835417,-3.645385,1998,-1.488615,-2.15677,38.714286,-1.881341,-1.113084,0.56,-1.113084,-1.673084,171,452,413,443,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
