season,band,rank_drbl100,player,playerId,teamId,P,LN,B,SDV,fusedRateRaw,posteriorAbilityRate,drbl100,fusionDelta,posteriorDelta,possessions
2025-26,bottom50,555,D'Angelo Russell,1626156,1610612742,-2.62,-0.36,-0.27,-5.07,-1.3155,-1.1956,-1.2,1.5663000000000002,0.1198999999999999,1995
2025-26,bottom50,554,PJ Hall,1641790,1610612763,-1.75,-2.03,0.2,3.18,-1.4677,-1.1979,-1.2,0.6704999999999999,0.26980000000000004,888
2025-26,bottom50,553,Rob Dillingham,1642265,1610612750,-2.15,-2.89,-0.43,-7.95,-1.23,-1.1751,-1.18,1.0213,0.05489999999999995,4281
2025-26,bottom50,552,Tre Mann,1630544,1610612766,-2.31,-4.88,-0.27,-8.34,-1.27,-1.1827,-1.18,1.2086000000000001,0.08729999999999993,2708
2025-26,bottom50,551,Bub Carrington,1642267,1610612764,-1.73,-3.03,-0.41,-7.67,-1.18,-1.156,-1.16,0.5843,0.02400000000000002,9635
2025-26,bottom50,550,Leonard Miller,1631159,1610612750,0.69,4.09,-0.18,5.01,-1.24,-1.1645,-1.16,-1.975,0.0754999999999999,3086
2025-26,bottom50,549,Kobe Bufkin,1641723,1610612747,-4.19,-1.2,-0.1,-2.86,-1.62,-1.1484,-1.15,4.2837,0.4716,487
2025-26,bottom50,548,Sharife Cooper,1630536,1610612764,-0.47,-1.37,-0.25,0.46,-1.18,-1.1068,-1.11,-0.6760999999999999,0.07319999999999993,3026
2025-26,bottom50,547,Johni Broome,1641780,1610612755,-3.32,-1.57,-0.09,-0.59,-2.1883,-1.1023,-1.1,4.3968,1.0859999999999999,203
2025-26,bottom50,546,Derik Queen,1642852,1610612740,-1.28,-0.37,-0.23,1.84,-1.11,-1.0853,-1.09,0.1997,0.024700000000000166,8778
2025-26,bottom50,545,KJ Simpson,1642354,1610612766,-2.16,-1.54,-0.16,-3.58,-1.3,-1.0922,-1.09,1.2695,0.20779999999999998,1051
2025-26,bottom50,544,Malevy Leons,1642502,1610612744,-1.24,-2.35,-0.09,1.09,-1.26,-1.064,-1.06,0.21100000000000008,0.19599999999999995,1086
2025-26,bottom50,543,Hunter Dickinson,1630621,1610612740,-3.62,-0.73,-0.31,-0.03,-2.1097,-1.0361,-1.04,5.2659,1.0736,193
2025-26,bottom50,542,Cameron Payne,1626166,1610612755,-0.21,-0.06,-0.15,-7.21,-1.16,-1.0354,-1.04,-0.9220999999999999,0.12459999999999982,1662
2025-26,bottom50,541,Bismack Biyombo,202687,1610612759,-3.27,-3.64,0.04,0.54,-1.4,-1.0267,-1.03,3.0558,0.37329999999999997,550
2025-26,bottom50,540,Khris Middleton,203114,1610612764,-1.34,0.88,-0.33,-1.44,-1.03,-0.9976,-1,0.3486,0.032399999999999984,6152
2025-26,bottom50,539,Kevin Love,201567,1610612762,-1.03,-0.62,-0.04,0.35,-1.08,-1.0049,-1,0.024599999999999955,0.07510000000000017,2675
2025-26,bottom50,538,Nikola Jović,1631107,1610612748,-2.35,0.16,-0.09,-5.86,-1.02,-0.9661,-0.97,1.4634,0.05390000000000006,3583
2025-26,bottom50,537,Luke Travers,1631247,1610612739,-1.79,-1.73,0.03,-2.03,-1.4134,-0.9675,-0.97,1.1967999999999999,0.44589999999999996,434
2025-26,bottom50,536,Marcus Smart,203935,1610612747,-0.37,5.37,-0.15,-6.9,-0.99,-0.9638,-0.96,-0.6089,0.0262,7364
2025-26,bottom50,535,Keshon Gilbert,1642933,1610612764,-2.52,-1.96,0.04,-0.11,-1.59,-0.964,-0.96,2.5612000000000004,0.6260000000000001,308
2025-26,bottom50,534,Markelle Fultz,1628365,1610612761,-3.94,0,-0.34,-0.23,-2.0616,-0.9289,-0.93,6.683,1.1326999999999998,164
2025-26,bottom50,533,Jahmir Young,1642443,1610612748,-1.27,-1.45,-0.14,-1.02,-1.8,-0.9198,-0.92,0.6832999999999998,0.8802000000000001,209
2025-26,bottom50,532,Ace Bailey,1642846,1610612762,-0.9,-2.14,-0.36,-2.12,-0.93,-0.9088,-0.91,-0.008300000000000085,0.021199999999999997,8566
2025-26,bottom50,531,Bronny James,1642355,1610612747,-1.65,-0.74,-0.41,-4.45,-1.03,-0.9083,-0.91,0.8464,0.12170000000000003,1492
2025-26,bottom50,530,Kevin McCullar Jr.,1641755,1610612752,-0.53,-1.7,-0.24,0.3,-1.19,-0.8987,-0.9,-0.49229999999999996,0.2912999999999999,617
2025-26,bottom50,529,Isaiah Collier,1642268,1610612762,-1.4,-3.43,-0.08,-2.04,-0.92,-0.8916,-0.89,0.5258999999999999,0.028400000000000092,6280
2025-26,bottom50,528,Herbert Jones,1630529,1610612740,-0.69,1.16,-0.35,-6.24,-0.92,-0.8933,-0.89,-0.21300000000000008,0.026700000000000057,6703
2025-26,bottom50,527,Ousmane Dieng,1631172,1610612760,-2.07,-2.34,-0.21,-4.85,-0.92,-0.8812,-0.88,1.2461000000000002,0.03880000000000006,4538
2025-26,bottom50,526,De'Andre Hunter,1629631,1610612739,-0.71,-1.61,-0.05,-3.99,-0.9109,-0.8761,-0.88,-0.17600000000000005,0.03480000000000005,5029
