player,playerId,oldRank,newRank,rankChange,oldRankingScore,newRankingScore,actualPossessions,posteriorAbilityRate,abilityStandardError,seasonWar,eligibilityStatus
CJ Huntley,1643047,214,280,-66,0.05,0.032,166,0.0459,1.1331,0.032,eligible
Tristan Vukcevic,1641774,336,281,55,-0.25,0.027667,2975,-0.253,1.2713,0.0277,eligible
Andrew Wiggins,203952,262,282,-20,-0.05,0.026667,9079,-0.0489,1.6924,0.0267,eligible
Dillon Jones,1641794,197,283,-86,0.09,0.025333,159,0.093,1.6548,0.0253,eligible
Mouhamadou Gueye,1631338,219,284,-65,0.04,0.022,203,0.0399,0.95,0.022,eligible
Tolu Smith,1642449,292,285,7,-0.14,0.021,369,-0.1362,2.007,0.021,eligible
Norchad Omier,1641807,266,286,-20,-0.06,0.015667,92,-0.0554,1.4472,0.0157,eligible
Taelon Peter,1643007,215,287,-72,0.05,0.015,2099,0.0457,0.4811,0.015,eligible
Patrick Baldwin Jr.,1631116,267,288,-21,-0.06,0.007667,410,-0.0583,0.6322,0.0077,eligible
Buddy Boeheim,1631205,242,289,-47,-0.01,-0.000333,59,-0.008,1.5689,-0.0003,eligible
Jaylin Williams,1631119,399,290,109,-0.39,-0.003,5260,-0.395,0.9425,-0.003,eligible
Doug McDermott,203926,163,291,-128,0.15,-0.003,1944,0.1541,1.456,-0.003,eligible
Chris Boucher,1628449,198,292,-94,0.09,-0.005667,367,0.0921,1.8125,-0.0057,eligible
Orlando Robinson,1631115,271,293,-22,-0.07,-0.006,95,-0.0663,1.3118,-0.006,eligible
DeAndre Jordan,201599,312,294,18,-0.19,-0.009333,856,-0.1864,0.7276,-0.0093,eligible
VJ Edgecombe,1642845,391,295,96,-0.37,-0.011,10840,-0.3731,0.9268,-0.011,eligible
Hayden Gray,1643060,251,296,-45,-0.03,-0.016333,107,-0.0272,1.4103,-0.0163,eligible
Nae'Qwan Tomlin,1641772,224,297,-73,0.03,-0.017,4295,0.0287,0.2704,-0.017,eligible
Brandon Clarke,1629634,272,298,-26,-0.07,-0.018333,94,-0.0657,1.4459,-0.0183,eligible
Tristen Newton,1641803,252,299,-47,-0.03,-0.026,50,-0.0314,2.0194,-0.026,eligible
Dillon Brooks,1628415,273,300,-27,-0.07,-0.026667,7168,-0.0681,0.4504,-0.0267,eligible
John Tonje,1642910,289,301,-12,-0.13,-0.033,177,-0.1302,2.0749,-0.033,eligible
Ben Sheppard,1641767,332,302,30,-0.24,-0.042,5938,-0.2419,0.6893,-0.042,eligible
Ochai Agbaji,1630534,333,303,30,-0.24,-0.042667,3974,-0.238,0.8528,-0.0427,eligible
Josh Oduro,1642490,281,304,-23,-0.11,-0.043,375,-0.1065,1.3014,-0.043,eligible
Pete Nance,1631250,33,305,-272,0.74,-0.047,2914,0.7393,2.1805,-0.047,eligible
Nate Williams,1631466,475,306,169,-0.64,-0.049667,961,-0.6446,0.96,-0.0497,eligible
Mason Plumlee,203486,225,307,-82,0.03,-0.051,715,0.0313,3.207,-0.051,eligible
LaMelo Ball,1630163,438,308,130,-0.5,-0.053,8420,-0.4982,0.9042,-0.053,eligible
Harrison Ingram,1631127,259,309,-50,-0.04,-0.054667,106,-0.0381,1.3385,-0.0547,eligible
Jonathan Mogbo,1642367,510,310,200,-0.81,-0.056333,1045,-0.8058,0.4831,-0.0563,eligible
Curtis Jones,1642938,424,311,113,-0.47,-0.056333,365,-0.4651,0.8611,-0.0563,eligible
Matas Buzelis,1641824,334,312,22,-0.24,-0.066333,9543,-0.2351,0.3338,-0.0663,eligible
Kristaps Porziņģis,204001,367,313,54,-0.31,-0.068,3335,-0.3113,1.2232,-0.068,eligible
Trayce Jackson-Davis,1631218,247,314,-67,-0.02,-0.068667,2126,-0.0183,3.1956,-0.0687,eligible
Spencer Jones,1642461,302,315,-13,-0.16,-0.069333,5880,-0.1644,0.2765,-0.0693,eligible
Drew Timme,1631166,66,316,-250,0.49,-0.081333,927,0.4935,1.7566,-0.0813,eligible
Isaiah Crawford,1642384,35,317,-282,0.73,-0.089,353,0.7341,0.9018,-0.089,eligible
Pacôme Dadiet,1642359,199,318,-119,0.09,-0.09,536,0.0947,0.8334,-0.09,eligible
Dwight Powell,203939,327,319,8,-0.23,-0.093333,3889,-0.2283,2.7991,-0.0933,eligible
Ryan Dunn,1642346,383,320,63,-0.35,-0.095,5349,-0.347,0.8677,-0.095,eligible
Jabari Walker,1631133,364,321,43,-0.3,-0.097333,3180,-0.3011,0.4349,-0.0973,eligible
Jalen Wilson,1630592,387,322,65,-0.36,-0.099333,3387,-0.3588,1.2316,-0.0993,eligible
James Wiseman,1630164,337,323,14,-0.25,-0.099667,251,-0.245,1.2676,-0.0997,eligible
Kevin Porter Jr.,1629645,308,324,-16,-0.18,-0.1,5160,-0.1829,0.4595,-0.1,eligible
Julius Randle,203944,226,325,-99,0.03,-0.108667,11066,0.0295,0.6964,-0.1087,eligible
Devin Booker,1626164,320,326,-6,-0.21,-0.11,9091,-0.2055,1.8279,-0.11,eligible
Cody Martin,1628998,313,327,-14,-0.19,-0.114,237,-0.1935,2.3574,-0.114,eligible
Mohamed Diawara,1642885,156,328,-172,0.16,-0.114333,2495,0.1574,0.6921,-0.1143,eligible
Grant Nelson,1641761,314,329,-15,-0.19,-0.118667,139,-0.1928,3.5379,-0.1187,eligible
Jase Richardson,1642859,338,330,8,-0.25,-0.125333,2343,-0.2488,0.5189,-0.1253,eligible
TyTy Washington Jr.,1631102,99,331,-232,0.34,-0.127667,347,0.3426,1.4166,-0.1277,eligible
Cameron Payne,1626166,542,332,210,-1.04,-0.131667,1662,-1.0354,0.3315,-0.1317,eligible
Jahmyl Telfort,1643141,328,333,-5,-0.23,-0.141,127,-0.2294,3.2777,-0.141,eligible
Kevin McCullar Jr.,1641755,530,334,196,-0.9,-0.143333,617,-0.8987,0.6802,-0.1433,eligible
Corey Kispert,1630557,285,335,-50,-0.12,-0.145333,4588,-0.1246,1.2505,-0.1453,eligible
Dario Šarić,203967,348,336,12,-0.27,-0.148,200,-0.2698,1.179,-0.148,eligible
Brandon Ingram,1627742,274,337,-63,-0.07,-0.150667,10501,-0.0687,0.9464,-0.1507,eligible
Chucky Hepburn,1642935,324,338,-14,-0.22,-0.150667,53,-0.2207,2.2215,-0.1507,eligible
Joe Ingles,204060,476,339,137,-0.64,-0.162333,651,-0.6426,1.0815,-0.1623,eligible
GG Jackson,1641713,297,340,-43,-0.15,-0.166,4773,-0.1536,1.1498,-0.166,eligible
Jahmir Young,1642443,533,341,192,-0.92,-0.173,209,-0.9198,1.1267,-0.173,eligible
Omer Yurtseven,1630209,339,342,-3,-0.25,-0.173667,440,-0.2482,1.1585,-0.1737,eligible
Alex Morales,1631457,368,343,25,-0.31,-0.174,94,-0.3084,1.7739,-0.174,eligible
Garrett Temple,202066,477,344,133,-0.65,-0.174667,296,-0.6505,1.5649,-0.1747,eligible
Sean Pedulla,1642951,400,345,55,-0.39,-0.179667,121,-0.3876,1.5021,-0.1797,eligible
Trae Young,1629027,487,346,141,-0.7,-0.183,1685,-0.6972,1.8592,-0.183,eligible
Jevon Carter,1628975,205,347,-142,0.08,-0.187333,3661,0.0759,0.7944,-0.1873,eligible
Mo Bamba,1628964,408,348,60,-0.42,-0.188,174,-0.4194,1.2933,-0.188,eligible
Dominick Barlow,1631230,206,349,-143,0.08,-0.205333,6977,0.0778,1.0278,-0.2053,eligible
Branden Carlson,1642382,405,350,55,-0.4,-0.205333,1951,-0.3991,1.9043,-0.2053,eligible
Nick Smith Jr.,1641733,429,351,78,-0.48,-0.212667,1497,-0.4764,2.0178,-0.2127,eligible
Drew Peterson,1641809,430,352,78,-0.48,-0.222333,258,-0.482,1.5898,-0.2223,eligible
Marcus Sasser,1631204,105,353,-248,0.32,-0.222333,1902,0.3167,1.9032,-0.2223,eligible
Ronald Holland II,1641842,365,354,11,-0.3,-0.230333,6410,-0.3006,0.9721,-0.2303,eligible
Anthony Davis,203076,372,355,17,-0.32,-0.230667,2606,-0.3163,0.6699,-0.2307,eligible
Hunter Sallis,1642282,436,356,80,-0.49,-0.244,108,-0.4873,1.9642,-0.244,eligible
Brandon Williams,1630314,303,357,-54,-0.16,-0.254,6385,-0.1551,0.188,-0.254,eligible
Isaac Jones,1642403,354,358,-4,-0.28,-0.261333,140,-0.28,2.4029,-0.2613,eligible
Moritz Wagner,1629021,11,359,-348,1.13,-0.263,1791,1.1334,1.4547,-0.263,eligible
Khaman Maluach,1642863,453,360,93,-0.55,-0.275667,1608,-0.5514,1.1392,-0.2757,eligible
Tony Bradley,1628396,237,361,-124,0.01,-0.277,1883,0.009,0.807,-0.277,eligible
Bez Mbeng,1643016,309,362,-53,-0.18,-0.283333,2178,-0.1806,0.5749,-0.2833,eligible
Chris Youngblood,1642959,437,363,74,-0.49,-0.284333,704,-0.4906,1.7277,-0.2843,eligible
Adou Thiero,1642876,310,364,-54,-0.18,-0.287,608,-0.1806,2.5557,-0.287,eligible
Adama Bal,1642380,345,365,-20,-0.26,-0.29,1060,-0.2553,0.902,-0.29,eligible
Jonas Valančiūnas,202685,472,366,106,-0.63,-0.292,3441,-0.6332,0.7697,-0.292,eligible
Yuki Kawamura,1642530,340,367,-27,-0.25,-0.292333,926,-0.2549,1.16,-0.2923,eligible
Johnny Furphy,1642277,207,368,-161,0.08,-0.294667,2685,0.0781,0.7771,-0.2947,eligible
Tyler Smith,1641890,384,369,15,-0.35,-0.298667,765,-0.345,0.7489,-0.2987,eligible
Buddy Hield,1627741,385,370,15,-0.35,-0.299333,3313,-0.3489,1.6086,-0.2993,eligible
Max Shulga,1642917,454,371,83,-0.55,-0.299333,153,-0.5503,2.6582,-0.2993,eligible
Dariq Whitehead,1641727,375,372,3,-0.33,-0.302667,811,-0.3341,0.7359,-0.3027,eligible
Ethan Thompson,1630679,401,373,28,-0.39,-0.311333,2741,-0.3914,1.1669,-0.3113,eligible
Jaden Ivey,1631093,388,374,14,-0.36,-0.314333,2896,-0.3611,0.4822,-0.3143,eligible
Amari Williams,1642873,373,375,-2,-0.32,-0.316667,559,-0.3167,2.9463,-0.3167,eligible
Lachlan Olbrich,1642950,447,376,71,-0.53,-0.320333,1400,-0.5337,1.5964,-0.3203,eligible
Larry Nance Jr.,1626204,412,377,35,-0.43,-0.324333,1927,-0.4349,1.1062,-0.3243,eligible
Kevon Looney,1626172,395,378,17,-0.38,-0.325667,1304,-0.3815,0.8337,-0.3257,eligible
Bobi Klintman,1641752,558,379,179,-1.25,-0.326333,310,-1.2522,1.3714,-0.3263,eligible
Kasparas Jakučionis,1642857,417,380,37,-0.44,-0.329667,4275,-0.4394,0.6112,-0.3297,eligible
Johnny Juzang,1630548,514,381,133,-0.82,-0.335333,371,-0.8236,0.9671,-0.3353,eligible
Kyle Filipowski,1642271,298,382,-84,-0.15,-0.342333,7667,-0.1462,0.45,-0.3423,eligible
Alijah Martin,1642918,418,383,35,-0.45,-0.343667,568,-0.4511,1.2768,-0.3437,eligible
Trevon Scott,1630286,409,384,25,-0.42,-0.37,748,-0.4193,0.9536,-0.37,eligible
Jeremy Sochan,1631110,521,385,136,-0.85,-0.373667,1915,-0.8511,2.2276,-0.3737,eligible
Caleb Martin,1628997,286,386,-100,-0.12,-0.374667,3590,-0.1231,1.0147,-0.3747,eligible
Jalen Suggs,1630591,311,387,-76,-0.18,-0.375,6589,-0.1844,1.8483,-0.375,eligible
Leaky Black,1641778,69,388,-319,0.48,-0.377,1860,0.4798,1.9057,-0.377,eligible
Luke Travers,1631247,537,389,148,-0.97,-0.377667,434,-0.9675,2.0971,-0.3777,eligible
Dyson Daniels,1630700,465,390,75,-0.61,-0.383667,10718,-0.6086,2.098,-0.3837,eligible
Jayson Tatum,1628369,220,391,-171,0.04,-0.386333,2177,0.037,0.7832,-0.3863,eligible
Dalano Banton,1630625,520,392,128,-0.84,-0.398,258,-0.8422,2.5838,-0.398,eligible
JD Davison,1631120,484,393,91,-0.69,-0.4,858,-0.6893,1.3201,-0.4,eligible
Gradey Dick,1641711,329,394,-65,-0.23,-0.402667,4505,-0.2298,0.5618,-0.4027,eligible
Nic Claxton,1629651,140,395,-255,0.19,-0.402667,7832,0.1853,3.0507,-0.4027,eligible
Oso Ighodaro,1642345,402,396,6,-0.39,-0.404667,7198,-0.3892,1.3434,-0.4047,eligible
Gary Harris,203914,448,397,51,-0.53,-0.406,2660,-0.5301,0.2919,-0.406,eligible
Dejounte Murray,1627749,89,398,-309,0.38,-0.422667,1633,0.3806,2.2168,-0.4227,eligible
Kevin Huerter,1628989,410,399,11,-0.42,-0.424667,6452,-0.4171,0.9553,-0.4247,eligible
Keshon Gilbert,1642933,535,400,135,-0.96,-0.426333,308,-0.964,2.6455,-0.4263,eligible
Julian Reese,1642882,468,401,67,-0.62,-0.427333,1718,-0.6161,0.3026,-0.4273,eligible
AJ Green,1631260,268,402,-134,-0.06,-0.429,9285,-0.0587,0.637,-0.429,eligible
Devin Carter,1642269,403,403,0,-0.39,-0.429333,2823,-0.3922,0.8547,-0.4293,eligible
Jae'Sean Tate,1630256,411,404,7,-0.42,-0.436,1621,-0.4184,1.447,-0.436,eligible
Trey Jemison III,1641998,425,405,20,-0.47,-0.438,342,-0.4669,1.4706,-0.438,eligible
Noah Clowney,1641730,380,406,-26,-0.34,-0.443,7223,-0.3406,1.0912,-0.443,eligible
Johni Broome,1641780,547,407,140,-1.1,-0.445667,203,-1.1023,2.6821,-0.4457,eligible
Maxi Kleber,1628467,389,408,-19,-0.36,-0.447667,1979,-0.3633,1.3705,-0.4477,eligible
Ivica Zubac,1627826,293,409,-116,-0.14,-0.458333,6013,-0.1355,1.4233,-0.4583,eligible
Jeremiah Robinson-Earl,1630526,504,410,94,-0.78,-0.466,1554,-0.7801,0.4001,-0.466,eligible
Jock Landale,1629111,359,411,-52,-0.29,-0.471667,6163,-0.2906,0.8944,-0.4717,eligible
Javonte Cooke,1631451,515,412,103,-0.82,-0.474333,377,-0.8235,1.8425,-0.4743,eligible
Hunter Dickinson,1630621,543,413,130,-1.04,-0.474333,193,-1.0361,2.5166,-0.4743,eligible
Jonathan Kuminga,1630228,524,414,110,-0.88,-0.478,3432,-0.8788,1.3086,-0.478,eligible
Markelle Fultz,1628365,534,415,119,-0.93,-0.478,164,-0.9289,3.0326,-0.478,eligible
Hunter Tyson,1641816,469,416,53,-0.62,-0.491667,647,-0.6156,1.7212,-0.4917,eligible
Zaccharie Risacher,1642258,420,417,3,-0.46,-0.496667,6506,-0.456,1.4376,-0.4967,eligible
Tyler Burton,1631174,390,418,-28,-0.36,-0.5,1310,-0.3556,1.6581,-0.5,eligible
Scoot Henderson,1630703,565,419,146,-1.41,-0.500667,3251,-1.4131,1.1676,-0.5007,eligible
Terrence Shannon Jr.,1630545,566,420,146,-1.41,-0.506333,2183,-1.4108,1.9336,-0.5063,eligible
Sharife Cooper,1630536,548,421,127,-1.11,-0.508333,3026,-1.1068,0.485,-0.5083,eligible
RayJ Dennis,1642484,499,422,77,-0.76,-0.514333,878,-0.7575,0.8757,-0.5143,eligible
Elijah Harkless,1641989,164,423,-259,0.15,-0.519667,2310,0.1473,2.3463,-0.5197,eligible
Derrick White,1628401,457,424,33,-0.56,-0.528333,10487,-0.5593,2.1018,-0.5283,eligible
Jaden Hardy,1630702,458,425,33,-0.56,-0.529,3886,-0.5611,1.9257,-0.529,eligible
Lucas Williamson,1631351,431,426,5,-0.48,-0.532,1000,-0.4836,1.3491,-0.532,eligible
Malevy Leons,1642502,544,427,117,-1.06,-0.532667,1086,-1.064,1.3136,-0.5327,eligible
Drew Eubanks,1629234,500,428,72,-0.76,-0.538,2352,-0.7557,0.4257,-0.538,eligible
Jaylen Brown,1627759,346,429,-83,-0.26,-0.551333,9843,-0.2646,1.6811,-0.5513,eligible
Isaiah Livers,1630587,459,430,29,-0.56,-0.552333,1498,-0.5558,0.9355,-0.5523,eligible
Bogdan Bogdanović,203992,497,431,66,-0.75,-0.558333,1790,-0.7466,0.695,-0.5583,eligible
Kennedy Chandler,1631113,406,432,-26,-0.4,-0.562,1596,-0.4026,0.7919,-0.562,eligible
Xavier Tillman,1630214,478,433,45,-0.65,-0.564667,685,-0.6502,2.1681,-0.5647,eligible
Jordan Clarkson,203903,455,434,21,-0.55,-0.569667,5153,-0.5487,0.9415,-0.5697,eligible
Pelle Larsson,1641796,253,435,-182,-0.03,-0.585,8080,-0.0293,0.3178,-0.585,eligible
Josh Okogie,1629006,470,436,34,-0.62,-0.607,5430,-0.6173,1.1167,-0.607,eligible
Tyrese Proctor,1642878,523,437,86,-0.86,-0.609667,2201,-0.8617,0.8507,-0.6097,eligible
Chaz Lanier,1642404,386,438,-52,-0.35,-0.624333,1041,-0.3523,0.8493,-0.6243,eligible
Andersson Garcia,1643158,564,439,125,-1.4,-0.628667,725,-1.4013,2.2776,-0.6287,eligible
Nigel Hayes-Davis,1628502,573,440,133,-1.84,-0.631667,758,-1.8372,1.2707,-0.6317,eligible
PJ Hall,1641790,554,441,113,-1.2,-0.633,888,-1.1979,2.9985,-0.633,eligible
Kentavious Caldwell-Pope,203484,294,442,-148,-0.14,-0.634667,4416,-0.1358,0.3972,-0.6347,eligible
Al Horford,201143,355,443,-88,-0.28,-0.638,4097,-0.2765,1.2868,-0.638,eligible
Cam Christie,1642353,318,444,-126,-0.2,-0.653667,1937,-0.1994,0.8337,-0.6537,eligible
Jeff Green,201145,335,445,-110,-0.24,-0.663333,752,-0.2449,0.913,-0.6633,eligible
Brooks Barnhizer,1642964,376,446,-70,-0.33,-0.669667,1377,-0.3318,1.3999,-0.6697,eligible
Jonathan Isaac,1628371,439,447,-8,-0.5,-0.674667,2062,-0.5014,2.943,-0.6747,eligible
Keaton Wallace,1630811,349,448,-99,-0.27,-0.675333,2280,-0.2666,0.6957,-0.6753,eligible
Jared McCain,1642272,443,449,-6,-0.51,-0.700667,4778,-0.5087,1.2878,-0.7007,eligible
Kelly Olynyk,203482,460,450,10,-0.56,-0.719333,1451,-0.5625,2.364,-0.7193,eligible
Toby Okani,1643253,483,451,32,-0.67,-0.723,956,-0.6739,1.7982,-0.723,eligible
Noah Penda,1642869,377,452,-75,-0.33,-0.725667,2958,-0.3278,0.3835,-0.7257,eligible
Bradley Beal,203078,563,453,110,-1.38,-0.731,508,-1.3776,1.8395,-0.731,eligible
Steven Adams,203500,192,454,-262,0.1,-0.734,3028,0.1003,0.9738,-0.734,eligible
Jordan McLaughlin,1629162,493,455,38,-0.73,-0.734333,1138,-0.7314,2.2972,-0.7343,eligible
Domantas Sabonis,1627734,421,456,-35,-0.46,-0.738333,2397,-0.4647,0.5931,-0.7383,eligible
Jalen Green,1630224,120,457,-337,0.25,-0.747667,3381,0.2549,0.2955,-0.7477,eligible
Micah Peavy,1642877,450,458,-8,-0.54,-0.756333,3928,-0.5424,1.4481,-0.7563,eligible
Danny Wolf,1642874,464,459,5,-0.6,-0.759667,4872,-0.5956,0.628,-0.7597,eligible
Andre Jackson Jr.,1641748,381,460,-79,-0.34,-0.764333,1625,-0.3384,2.1892,-0.7643,eligible
Nikola Topić,1642260,473,461,12,-0.63,-0.766667,648,-0.6266,2.3027,-0.7667,eligible
Jett Howard,1641724,502,462,40,-0.77,-0.783,2741,-0.7736,0.887,-0.783,eligible
Luguentz Dort,1629652,350,463,-113,-0.27,-0.788333,7613,-0.2728,0.5291,-0.7883,eligible
Malik Monk,1628370,275,464,-189,-0.07,-0.793667,5979,-0.0677,1.361,-0.7937,eligible
Scotty Pippen Jr.,1630590,561,465,96,-1.33,-0.796333,899,-1.3334,1.5636,-0.7963,eligible
Darius Garland,1629636,449,466,-17,-0.53,-0.804333,5737,-0.5315,0.8518,-0.8043,eligible
Alex Sarr,1642259,369,467,-98,-0.31,-0.809,5448,-0.3087,1.3889,-0.809,eligible
Christian Koloko,1631132,488,468,20,-0.7,-0.811667,1544,-0.6994,1.3837,-0.8117,eligible
Tyler Kolek,1642278,495,469,26,-0.74,-0.814,2890,-0.7389,1.8703,-0.814,eligible
Bismack Biyombo,202687,541,470,71,-1.03,-0.817,550,-1.0267,3.2782,-0.817,eligible
Brook Lopez,201572,432,471,-39,-0.48,-0.817333,6467,-0.4753,1.1038,-0.8173,eligible
Ariel Hukporti,1630574,508,472,36,-0.8,-0.825333,1994,-0.7998,1.7716,-0.8253,eligible
Killian Hayes,1630165,299,473,-174,-0.15,-0.826667,1664,-0.1519,1.6414,-0.8267,eligible
Will Riley,1642860,130,474,-344,0.22,-0.839,6812,0.2234,0.8616,-0.839,eligible
Lindy Waters III,1630322,505,475,30,-0.78,-0.844667,1197,-0.7797,0.6729,-0.8447,eligible
Blake Wesley,1631104,506,476,30,-0.78,-0.851333,1464,-0.783,1.781,-0.8513,eligible
Kyle Lowry,200768,466,477,-11,-0.61,-0.86,473,-0.6115,3.4738,-0.86,eligible
Andre Drummond,203083,321,478,-157,-0.21,-0.862,5128,-0.2117,0.3386,-0.862,eligible
Sion James,1642883,396,479,-83,-0.38,-0.872667,7427,-0.3798,0.9973,-0.8727,eligible
AJ Johnson,1642358,511,480,31,-0.81,-0.884,1873,-0.8132,2.3514,-0.884,eligible
Kris Dunn,1627739,341,481,-140,-0.25,-0.887,8988,-0.2543,0.6655,-0.887,eligible
Bilal Coulibaly,1641731,426,482,-56,-0.47,-0.895333,6360,-0.4654,0.6346,-0.8953,eligible
KJ Simpson,1642354,545,483,62,-1.09,-0.900333,1051,-1.0922,1.3684,-0.9003,eligible
Jake LaRavia,1631222,356,484,-128,-0.28,-0.902667,8523,-0.2834,1.1475,-0.9027,eligible
Kris Murray,1631200,330,485,-155,-0.23,-0.921333,5589,-0.2317,0.7085,-0.9213,eligible
Zeke Nnaji,1630192,413,486,-73,-0.43,-0.926333,2471,-0.4256,1.3151,-0.9263,eligible
Aaron Nesmith,1630174,357,487,-130,-0.28,-0.928333,5689,-0.2802,1.5515,-0.9283,eligible
Peyton Watson,1631212,392,488,-96,-0.37,-0.929667,6549,-0.3687,0.6785,-0.9297,eligible
Bronny James,1642355,531,489,42,-0.91,-0.933333,1492,-0.9083,1.1534,-0.9333,eligible
Marcus Smart,203935,536,490,46,-0.96,-0.935333,7364,-0.9638,3.0857,-0.9353,eligible
Quentin Grimes,1629656,322,491,-169,-0.21,-0.948,9191,-0.2055,0.1712,-0.948,eligible
Trendon Watford,1630570,516,492,24,-0.82,-0.948,3779,-0.8168,0.3584,-0.948,eligible
Kobe Brown,1641738,433,493,-60,-0.48,-0.952667,3967,-0.476,1.5221,-0.9527,eligible
Kobe Bufkin,1641723,549,494,55,-1.15,-0.958333,487,-1.1484,3.3297,-0.9583,eligible
Kevin Love,201567,539,495,44,-1,-0.985,2675,-1.0049,1.0636,-0.985,eligible
Daniss Jenkins,1642450,331,496,-165,-0.23,-0.994667,5976,-0.2322,0.8045,-0.9947,eligible
Dorian Finney-Smith,1627827,525,497,28,-0.88,-1.017,2519,-0.8801,0.6971,-1.017,eligible
Jusuf Nurkić,203994,404,498,-94,-0.39,-1.043667,4771,-0.3903,0.3126,-1.0437,eligible
Chris Paul,101108,574,499,75,-1.98,-1.052,920,-1.9815,1.0355,-1.052,eligible
Isaac Okoro,1630171,351,500,-149,-0.27,-1.093,7282,-0.2725,1.5815,-1.093,eligible
Adem Bona,1641737,370,501,-131,-0.31,-1.104667,5133,-0.308,1.4859,-1.1047,eligible
Jalen Johnson,1630552,378,502,-124,-0.33,-1.138667,10755,-0.3338,0.9164,-1.1387,eligible
Yves Missi,1642274,444,503,-59,-0.51,-1.142667,5347,-0.5109,2.5151,-1.1427,eligible
Jericho Sims,1630579,315,504,-189,-0.19,-1.150667,5291,-0.1927,0.9987,-1.1507,eligible
Jalen Pickett,1629618,485,505,-20,-0.69,-1.153,3253,-0.6877,1.2216,-1.153,eligible
Nicolas Batum,201587,456,506,-50,-0.55,-1.153667,5229,-0.549,0.5315,-1.1537,eligible
Keegan Murray,1631099,496,507,-11,-0.74,-1.195667,3389,-0.7365,1.7756,-1.1957,eligible
Tyrese Martin,1631213,509,508,1,-0.8,-1.200333,3053,-0.7977,0.3605,-1.2003,eligible
Guerschon Yabusele,1627824,501,509,-8,-0.76,-1.214667,4313,-0.7645,1.0305,-1.2147,eligible
De'Andre Hunter,1629631,526,510,16,-0.88,-1.232,5029,-0.8761,1.0864,-1.232,eligible
Aaron Wiggins,1630598,414,511,-97,-0.43,-1.296667,5896,-0.4256,0.5256,-1.2967,eligible
Egor Dëmin,1642856,445,512,-67,-0.51,-1.299,5378,-0.511,0.6177,-1.299,eligible
Gary Trent Jr.,1629018,427,513,-86,-0.47,-1.305667,5675,-0.4733,1.5134,-1.3057,eligible
Caleb Love,1631126,422,514,-92,-0.46,-1.326333,4236,-0.4584,0.2147,-1.3263,eligible
DeJon Jarreau,1630610,556,515,41,-1.23,-1.334,953,-1.2309,3.3381,-1.334,eligible
Kobe Sanders,1642920,559,516,43,-1.25,-1.357667,5450,-1.254,0.5527,-1.3577,eligible
Terance Mann,1629611,415,517,-102,-0.43,-1.374,6250,-0.4264,0.7076,-1.374,eligible
Bennedict Mathurin,1631097,325,518,-193,-0.22,-1.389667,6777,-0.2234,0.937,-1.3897,eligible
Carter Bryant,1642868,512,519,-7,-0.81,-1.393,3369,-0.8118,0.8569,-1.393,eligible
Gabe Vincent,1629216,489,520,-31,-0.7,-1.393,3729,-0.7023,1.2029,-1.393,eligible
Yang Hansen,1642905,575,521,54,-2.05,-1.431,1224,-2.0457,2.4454,-1.431,eligible
Jarred Vanderbilt,1629020,428,522,-94,-0.47,-1.447,4767,-0.4703,0.4385,-1.447,eligible
Alperen Sengun,1630578,434,523,-89,-0.48,-1.462333,9731,-0.4801,1.4594,-1.4623,eligible
Craig Porter Jr.,1641854,462,524,-62,-0.59,-1.477667,4732,-0.5853,0.489,-1.4777,eligible
Bruce Brown,1628971,366,525,-159,-0.3,-1.48,8071,-0.3025,1.7381,-1.48,eligible
Vince Williams Jr.,1631246,379,526,-147,-0.33,-1.482,3344,-0.3266,1.2717,-1.482,eligible
Kyle Kuzma,1628398,416,527,-111,-0.43,-1.483333,7571,-0.4287,0.7494,-1.4833,eligible
Tyus Jones,1626145,467,528,-61,-0.61,-1.487333,4080,-0.6101,0.9686,-1.4873,eligible
Davion Mitchell,1630558,471,529,-58,-0.62,-1.49,8546,-0.6156,2.7121,-1.49,eligible
Kam Jones,1642880,517,530,-13,-0.82,-1.493,2603,-0.8172,1.1395,-1.493,eligible
Kyshawn George,1642273,518,531,-13,-0.82,-1.518,5921,-0.8222,0.5351,-1.518,eligible
Jordan Poole,1629673,480,532,-52,-0.66,-1.519667,3993,-0.6571,0.6278,-1.5197,eligible
Paolo Banchero,1631094,397,533,-136,-0.38,-1.521667,10014,-0.3824,1.1712,-1.5217,eligible
Cole Anthony,1630175,562,534,28,-1.33,-1.535667,2120,-1.33,0.9116,-1.5357,eligible
Herbert Jones,1630529,528,535,-7,-0.89,-1.579667,6703,-0.8933,1.6745,-1.5797,eligible
Mike Conley,201144,491,536,-45,-0.72,-1.618333,4126,-0.7249,1.7931,-1.6183,eligible
Ja Morant,1629630,503,537,-34,-0.77,-1.636667,2437,-0.7652,1.5032,-1.6367,eligible
Jordan Hawkins,1641722,569,538,31,-1.54,-1.650667,2853,-1.5419,1.1894,-1.6507,eligible
Nick Richards,1630208,570,539,31,-1.6,-1.688333,2865,-1.5984,2.4013,-1.6883,eligible
Sidy Cissoko,1631321,463,540,-77,-0.59,-1.718667,6021,-0.5904,1.3157,-1.7187,eligible
Cam Thomas,1630560,382,541,-159,-0.34,-1.741333,3442,-0.3402,1.3918,-1.7413,eligible
Rayan Rupert,1641712,498,542,-44,-0.75,-1.761,4501,-0.7468,1.344,-1.761,eligible
